bucket,group,address,data_id,current_label,hcad_acct,legal_lines,whole_lots,tracts,hcad_area_sf,har_lot,plat_median_sf,plat_risk,chain_marker,unit_letter,parcel_events,deciding_signal,evidence_needed
RESOLVED-SINGLE,C,"909 Bayland Ave, Houston, Tx 77009",2131152146,(unlabeled),0513780000023,TRS 23 & 24A BLK 6|WOODSON PLACE,0,2,4893,5000,4959,YES,,,,"4,893 sf = 99% of plat median 4,959",
RESOLVED-SINGLE,C,"911 Bay Oaks Rd, Houston, Tx 77008",2131538680,(unlabeled),0771820160009,LT 9 BLK 16|TIMBERGROVE MANOR SEC 3,1,0,8770,8970,8706,,,,,"legal LT n + 8,770 sf full lot",
RESOLVED-SINGLE,C,"914 W 16th St, Houston, TX 77008",pmt_914-w-16th-st-77008,(unlabeled),0561680010004,TRS 4B & 5 BLK 1|SHADY ACRES ANNEX,0,2,8732,,8344,,,,,"legal TR only (2 frag) + 8,732 sf full lot",
RESOLVED-SINGLE,C,"918 Dorothy St, Houston, TX 77008",pmt_918-dorothy-st-77008,(unlabeled),0600850100018,TR K BLK 10|WEST HEIGHTS,0,0,7516,,6000,,,,,"legal TR only (0 frag) + 7,516 sf full lot",
RESOLVED-SINGLE,C,"918 Tulane St, Houston, Tx 77008",2131149006,(unlabeled),0202300000026,TRS 26 & 27A BLK 234|HOUSTON HEIGHTS,0,2,5811,5808,6314,,,,,"legal TR only (2 frag) + 5,811 sf full lot",
RESOLVED-SINGLE,C,"922 Prince St, Houston, Tx 77008",2131538328,(unlabeled),0771820140009,LT 9 BLK 14|TIMBERGROVE MANOR SEC 3,1,0,8478,8400,8706,,,,,"legal LT n + 8,478 sf full lot",
RESOLVED-SINGLE,C,"930 Dorothy St, Houston, Tx 77008",2131360892,(unlabeled),0600850100021,TR N BLK 10|WEST HEIGHTS,0,0,6000,6000,6000,,,,,"legal TR only (0 frag) + 6,000 sf full lot",
RESOLVED-SINGLE,C,"932 W Temple St, Houston, Tx 77009",2131387479,(unlabeled),0621330190002,LT 2 BLK 219|EAST NORHILL,1,0,5284,5200,5240,YES,,,,"legal LT n + 5,284 sf full lot",
RESOLVED-SINGLE,C,"934 Dorothy St, Houston, Tx 77008",2131360894,(unlabeled),0600850100022,TR O BLK 10|WEST HEIGHTS,0,0,6000,6000,6000,,,,,"legal TR only (0 frag) + 6,000 sf full lot",
RESOLVED-SINGLE,C,"935 Pecore St, Houston, Tx 77009",2131151610,(unlabeled),0513730000009,LT 9 BLK 1|WOODSON PLACE,1,0,7608,7350,7286,,,,,"legal LT n + 7,608 sf full lot",
RESOLVED-SINGLE,C,"946 W 21st St, Houston, Tx 77008",2131201005,(unlabeled),0610190040006,LT 6 BLK 4|QUENSELL LAWN,1,0,8051,8800,7250,,,,,"legal LT n + 8,051 sf full lot",
RESOLVED-SINGLE,C,"949 Ridge St, Houston, TX 77009",pmt_949-ridge-st-77009,(unlabeled),0562880000014,LT 14 BLK 2|RIDGEMONT SEC 1,1,0,5228,,5020,YES,,,,"legal LT n + 5,228 sf full lot",
